"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Disc Number","Track Number","Track Duration (ms)","Added By","Added At"
"spotify:track:1hF7jd3YsRDgF3YWZO4S1I","Last Rites","spotify:artist:4e6pQ61gYReORJoXcrQH1Z","Alix Perez","spotify:album:1OIyf5OIb2ckfzx4mxXjdn","Last Rites: EP","1","1","260771","spotify:user:j4ryg5c3ah6g3g498kbuhtdxz","2020-07-19T17:25:01Z"
"spotify:track:25h2C1FnWBvXXlecyUtX3p","ESO Fog","spotify:artist:5JUoiC2oaCGmgVl1Dsw1vN","Former","spotify:album:6Gt9MfJoGy9uYxEaVjBS8C","White Field","1","4","223255","spotify:user:j4ryg5c3ah6g3g498kbuhtdxz","2020-07-19T17:25:01Z"
"spotify:track:0wwGv0YF8ZBVxCYZ7nL3MY","Dry/Wet","spotify:artist:3kBjr6g7vth9Ak4ZxEdyXN","HØST","spotify:album:3yB0T0UAMbMcEV9hiUJ56e","Sustain Attack Release","1","1","209062","spotify:user:j4ryg5c3ah6g3g498kbuhtdxz","2020-07-19T17:25:01Z"
"spotify:track:78cgsqDfW29z0a8IhmolG6","Drippin' Like","spotify:artist:1tsHUHMDK952zIrjWY7uiB","smith.","spotify:album:3qygKuXTk9TgWaxk8z7hXf","DUPLOC031","1","2","152054","spotify:user:j4ryg5c3ah6g3g498kbuhtdxz","2020-07-19T17:25:01Z"
"spotify:track:2DE6HDERval7xayNTWGWzU","Slug","spotify:artist:2ZRvR99Cg42zMNIfEnP5HK","Sterfry","spotify:album:54gfnlPQHwBON8v1EDmkGu","Slug","1","1","195428","spotify:user:j4ryg5c3ah6g3g498kbuhtdxz","2020-07-19T17:25:01Z"
"spotify:track:08heQqQWsV1sJThqnCOE7U","Clipping","spotify:artist:6v5ocfxlhhbRgyxCPXkTGX","Razat","spotify:album:2jJ0JsT2mjhDKZwpSXKkuH","Saturation","1","3","201093","spotify:user:j4ryg5c3ah6g3g498kbuhtdxz","2020-07-19T17:25:01Z"
"spotify:track:5S5rgh7IbLuRXY6gMnECi6","Distortion","spotify:artist:6v5ocfxlhhbRgyxCPXkTGX","Razat","spotify:album:2jJ0JsT2mjhDKZwpSXKkuH","Saturation","1","1","223593","spotify:user:j4ryg5c3ah6g3g498kbuhtdxz","2020-07-19T17:25:01Z"
"spotify:track:1Eq3WrJjL8hAl4TWH3tUX3","Overdrive","spotify:artist:6v5ocfxlhhbRgyxCPXkTGX","Razat","spotify:album:2jJ0JsT2mjhDKZwpSXKkuH","Saturation","1","2","223593","spotify:user:j4ryg5c3ah6g3g498kbuhtdxz","2020-07-19T17:25:01Z"
"spotify:track:1N0uQnAVxWgnGFdaumwgGP","Saturation","spotify:artist:6v5ocfxlhhbRgyxCPXkTGX","Razat","spotify:album:2jJ0JsT2mjhDKZwpSXKkuH","Saturation","1","6","139593","spotify:user:j4ryg5c3ah6g3g498kbuhtdxz","2020-07-19T17:25:01Z"
"spotify:track:2cXfEr2ctW6F4XhND2MNyU","I Cause You Trouble","spotify:artist:3kBjr6g7vth9Ak4ZxEdyXN","HØST","spotify:album:3yB0T0UAMbMcEV9hiUJ56e","Sustain Attack Release","1","8","204093","spotify:user:j4ryg5c3ah6g3g498kbuhtdxz","2020-07-19T17:25:01Z"
