"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Disc Number","Track Number","Track Duration (ms)","Added By","Added At"
"spotify:track:0ojTxa4FqcvrDWFdVXuli5","Plot Twist","spotify:artist:0KoziTqE9AN9MrAWeTRGKI","Yoofee","spotify:album:2yTJMDY4onkR6mfn2IbFIx","Plot Twist","1","1","282133","spotify:user:j4ryg5c3ah6g3g498kbuhtdxz","2020-11-20T07:20:08Z"
"spotify:track:7jHzT5JFT6NfHhokAjKggi","Step Two You","spotify:artist:3Uy9rrp1mykUZRGLK328bh","Koma","spotify:album:6452epIiQSSHU5KHMXVxSL","Step Two You","1","1","205714","spotify:user:j4ryg5c3ah6g3g498kbuhtdxz","2020-11-20T07:20:26Z"
"spotify:track:3OeOlOMC1NHIIFJvS4Rube","Ruff","spotify:artist:7G1qrUadh0ugQxOusQZVYi","Pharma","spotify:album:23UyKNbTQ31gJcCcB1tfJC","Ruff","1","1","278720","spotify:user:j4ryg5c3ah6g3g498kbuhtdxz","2020-11-20T07:20:41Z"
"spotify:track:3rP2fnzb3l12ZoTDAgwexU","Power","spotify:artist:3xwKCpbc3nMeh9ajAy7DQp","SBK","spotify:album:2BYN9uX8YTrmwZHyLAIX7S","Power","1","1","247853","spotify:user:j4ryg5c3ah6g3g498kbuhtdxz","2020-11-20T07:20:53Z"
"spotify:track:2PCuzsOYaMalxJuLLFyORr","Skeletons","spotify:artist:50fccMrp2zhFFghqN6JIp8","Ourman","spotify:album:0Rydq4PO71yb6s4Y5MuRYe","Skeletons","1","1","222853","spotify:user:j4ryg5c3ah6g3g498kbuhtdxz","2020-11-20T07:21:06Z"
"spotify:track:6aWj0kEX6HGozuFMlFh2wO","Sound Business","spotify:artist:3PwOnzhkGkU2ZCYz2tjwiR","E S P","spotify:album:2cRynhtlUYkh4c13zIqmxI","Sound Business","1","1","311666","spotify:user:j4ryg5c3ah6g3g498kbuhtdxz","2020-11-20T07:22:24Z"
"spotify:track:7qzRgmTXGpolQqgocOhFux","Insidieux","spotify:artist:4rEIWPlJL5zMfuNonntdDd, spotify:artist:2xiP0gexsjHlhdSXb46PKI","Quasar, Qant","spotify:album:6FGoo1vDsGgYv8ezO42MNh","Insidieux","1","1","256426","spotify:user:j4ryg5c3ah6g3g498kbuhtdxz","2020-11-20T07:22:40Z"
"spotify:track:1IVRVL7kVtNvM1KRUrCdYD","Shy","spotify:artist:5Xl6j6z5KfnuMocXetMr4f","Lord Jabu","spotify:album:5QmnpJ994Ijm9uraEl6KUF","Shy","1","1","197280","spotify:user:j4ryg5c3ah6g3g498kbuhtdxz","2020-11-20T07:22:59Z"
"spotify:track:1ZLY1yiolGyecR3pdi3dql","UV","spotify:artist:2L7MmMLuK42OjVigww1nDP","Sedan","spotify:album:3hFKdAS0DdUwoQIrJEptQ6","UV","1","1","278666","spotify:user:j4ryg5c3ah6g3g498kbuhtdxz","2020-11-20T07:23:11Z"
"spotify:track:5NL2MA1T6YYmUpTwkybCeG","Blue Moon","spotify:artist:2S2BaxHPPsrCbnQcy1AxAT","q100","spotify:album:6NVtHViAONLgqyvBPTtRgN","Blue Moon","1","1","230706","spotify:user:j4ryg5c3ah6g3g498kbuhtdxz","2020-11-20T07:23:22Z"
"spotify:track:5hQm0VjK4e5019Ly0TlJq9","Seek","spotify:artist:2iu7vqXiYio9ZaDbke7o9A","EKSTR","spotify:album:22QRFlbqCZRV8r6tpLQJf3","Seek","1","1","226533","spotify:user:j4ryg5c3ah6g3g498kbuhtdxz","2020-11-20T07:23:38Z"
"spotify:track:0098vlNATleVhvWUXl289D","Root","spotify:artist:6foZjtLPrvItV2IGuoenAE","Nizth","spotify:album:6WJVcI0tNRMntjevGOGsyt","Root","1","1","261560","spotify:user:j4ryg5c3ah6g3g498kbuhtdxz","2020-11-20T07:23:49Z"
"spotify:track:0XvRHCL2lZ25m891Z2QYmv","Scratched Back","spotify:artist:6IGbzrji9mRHKJ9vBIvVIl, spotify:artist:2ehWXM4sCeovHgpxHHkaMu","Ome, Photom","spotify:album:5VFwuLfu5y4TMVNf46Er5n","Scratched Back","1","1","262533","spotify:user:j4ryg5c3ah6g3g498kbuhtdxz","2020-11-20T07:24:04Z"
"spotify:track:5bDP0y4YZd7sOjswzFMO4T","Monkey Cage","spotify:artist:57EBsbrms4LW69eb8mhQWE","NICHE","spotify:album:6F0A9H8vPuevLUGoBk21hd","Monkey Cage","1","1","226093","spotify:user:j4ryg5c3ah6g3g498kbuhtdxz","2020-11-20T07:24:26Z"
"spotify:track:1bCwJ2Ava1NfbAb6t1ezFG","Biome","spotify:artist:4NZ65n33FBA0UvkDoGRqTZ","LT","spotify:album:6Fjw0DCEVsWwdDxhjnc4O4","Biome","1","1","380106","spotify:user:j4ryg5c3ah6g3g498kbuhtdxz","2020-11-20T07:24:33Z"
